Tipo,Talla,Color,Temporada,Genero,Estilo,Pais,Marca,Modelo,Ruta_Imagen
Sueter,35,Gris con blanco,Invierno,Hombre,Casual,Usa,Amazon ssentials,85216,MariaDJSS\Imagen 6\Imagen 6.webp
Sueter,35,Rojo,Invierno,Hombre,Casual,Usa,Amazon sssentials,76194,MariaDJSS\Imagen 7\Imagen 7.webp
Sueter,20,Negro,Invierno,Hombre,Casual,Usa,Essentials,13795,MariaDJSS\Imagen 8\Imagen 8.webp
Chaleco de punto,15,Marron con camel,Otoño,Hombre,Casual,Italia,Ess,64719,MariaDJSS\Imagen 9\Imagen 9.webp
Chamarra,L,Verde caqui,,Hombre,Deportivo,México,Generic,12835656,MFer\Imag_01\Imag_01.webp
Vestido de verano,S,Blanco con detalles negros,Verano,Mujer,Elegante,México,SHEIN,1846565,MFer\Imag_02\Imag_02.webp
Vestido,M,Café,Otoño,Mujer,Casual,México,H&M,1845555,MFer\Imag_03\Imag_03.webp
Vestido,S,Azul,Invierno,Mujer,Elegante,México,Pull&Bear,18456965,MFer\Imag_04\Imag_04.webp
Vestido,S,Azul,Primavera,Mujer,Casual,México,Pull&Bear,89565544,MFer\Imag_05\Imag_05.webp
Vestido,L,Electrum,Primavera,Mujer,Elegante,México,SHEIN,8969565,MFer\Imag_06\Imag_06.webp
Vestido,M,Verde agua,Primavera,Mujer,Casual,México,H&M,965965,MFer\Imag_07\Imag_07.webp
Blusa manga larga,M,Verde olivo,Otoño,Mujer,Casual,México,H&M,8654885,MFer\Imag_08\Imag_08.webp
Blusa manga corta,M,Azul con rayas blancas,Primavera,Mujer,Casual,México,SHEIN,5895555,MFer\Imag_09\Imag_09.webp
Falda larga,M,Café con blanco,Primavera-otoño,Mujer,Casual,México,SHEIN,56326625,MFer\Imag_10\Imag_10.webp
Falda larga,S,Blanco,Primavera,Mujer,Casual,México,SHEIN,6559658466,MFer\Imag_11\Imag_11.webp
Suéter,S,Azul claro,Invierno,Mujer,Elegante,México,TED BAKER,5695255,MFer\Imag_12\Imag_12.webp
Blusa con mangas largas,L,Blanco,Primavera,Mujer,Elegante,México,TED BAKER,56963245,MFer\Imag_13\Imag_13.webp
Blusa con mangas largas,L,Beige,Primavera,Mujer,Casual,México,TED BAKER,56952544,MFer\Imag_14\Imag_14.webp
Blusa con mangas largas,L,Azul,Primavera,Mujer,Casual,México,H&M,85545652,MFer\Imag_15\Imag_15.webp
Chaqueta impermeable,M | L | XL | XXL | XXXL | 4XL,Blackandpink,Otoño,Mujer,Urbano,Mexico,Generic,,Rod\Imagen1.webp
Pantalon tactico impermeable,XXXL | XXL | L | M | S | XL,Caqui,Otoño | Invierno,Hombre,Urbano,Mexico,Hewo,,Rod\Imagen10.webp
Chamarra imperneable,M,Verde,Otoño | Inivierno,Hombre,Hike,Mexico,Arc'ter,Beta,Rod\Imagen2.webp
Polo,S | M | L | XL,Gris,Primavera,Hombre,Casual,Mexico,M,,Rod\Imagen3.webp
Playera de manga larga,S | L | M | XL,Negra,Otoño,Hombre,Casual,Mexico,Optima,Heavy,Rod\Imagen4.webp
Polo,S | M | L ,Blanco,Primavera,Hombre,Casual,Mexico,BOSS,,Rod\Imagen5.webp
Chamarra de piel de borrego,CH | M | L | XXL,Marrón,Otoño | Invierno,Hombre,Ranchero,Mexico,Onix,Malboro,Rod\Imagen6.webp
Chamarra de piel,L | XL | CH | L,Café,Otoño | Invierno,Hombre,Urbano,Mexico,Gerhel,,Rod\Imagen7.webp
Chamarra impermeable,L ,Azul,Primavera | Verano,Hombre,Urbano,Mexico,Columbia,,Rod\Imagen8.webp
Camisa Slim fit,S | L,Negro,Otoño,Hombre,Formal,Mexico,Tomm,,Rod\Imagen9.webp
